Name 1,Name 1 Position,Name 2,Name 2 Position,Weight,Relation Type,Relation Type (Specific),Date Precise,Date General,Papyri No.,Location
Ioannes 19,,Heliodoros 1,,1154,Fiscal,Fiscal,542,542,P.Cair.Masp. 1.67035,Aphrodito
Heliodoros 1,,Ioannes 19,,1154,Fiscal,Fiscal,542,542,P.Cair.Masp. 1.67035,Aphrodito
Charisios 5,Commoner,Biktor 39,Aristocrat/Government Officials,24,Lease,Lease,506,506.0,P.Cair.Masp. 1.67100,Aphrodito
Biktor 39,Aristocrat/Government Officials,Proma(u)os 6,Farm worker,24,Lease,Lease,506,506.0,P.Cair.Masp. 1.67100,Aphrodito
Charisios 5,Commoner,Proma(u)os 6,Farm worker,24,Lease,Lease,506,506.0,P.Cair.Masp. 1.67100,Aphrodito
Ouiktor 1,Aristocrat/Government Officials,Biktor 39,Aristocrat/Government Officials,24,Legal,Legal,506,506.0,P.Cair.Masp. 1.67100,Aphrodito
Charisios 4,,Proma(u)os 6,Farm worker,24,Legal,Legal,506,506.0,P.Cair.Masp. 1.67100,Aphrodito
Ouiktor 1,Aristocrat/Government Officials,Proma(u)os 6,Farm worker,24,Legal,Legal,506,506.0,P.Cair.Masp. 1.67100,Aphrodito
Herma(o)(u)os 16,Aristocrat/Government Officials,Anouphi(o)s 10,,,Lease,Lease,511,511,P.Cair.Masp. 1.67101,Aphrodito
Sophia 4,Merchant,Anouphi(o)s 10,,,Lease,Lease,511,511,P.Cair.Masp. 1.67101,Aphrodito
The Foundation of the Three Saints of Antinoopolis,,Anouphi(o)s 10,,,Lease,Lease,511,511.0,P.Cair.Masp. 1.67101,Aphrodito
Anouphi(o)s 10,,Herma(o)(u)os 16,Aristocrat/Government Officials,,Lease,Lease,511,511,P.Cair.Masp. 1.67101,Aphrodito
Sophia 4,Merchant,Herma(o)(u)os 16,Aristocrat/Government Officials,,Lease,Lease,511,511,P.Cair.Masp. 1.67101,Aphrodito
